station,x,y,X_NEW,Y_NEW
卡奈托灣,121.087872,23.754364,258957.1276,2627822.841
和社,120.888861,23.591131,238657.0979,2609747.656
廬山,121.181808,24.033311,268492.6933,2658724.18
日月潭,120.90805,23.881325,240636.2983,2641883.351
昆陽,121.273642,24.121322,277814.6832,2668486.441
武界,121.052483,23.913225,255343.2792,2645414.088
神木村,120.843667,23.532742,234037.5163,2603285.9
翠峰,121.205211,24.109397,270860.838,2667153.877
草嶺,120.693461,23.59555,218715.435,2610266.118
萬大,121.132261,23.979817,263458.5516,2652794.231
阿里山,120.813242,23.508208,230927.4106,2600572.702
青雲,120.949378,23.793361,244841.4459,2632139.673
鳳凰,120.787347,23.728081,228319.0924,2624925.595
竹山,120.688156,23.761225,218214.1213,2628614.74
溪湖,120.4791,23.94835,196981.1772,2649400.884
鹿港,120.4305,24.0753,192091.2823,2663479.831
員林,120.5856,23.9465,207820.6211,2649160.085
四湖,120.2271,23.63041,171139.339,2614306.284
虎尾,120.442,23.71918,193105.0627,2624035.126
下水埔,120.5676,23.8161,205944.3587,2634724.098
