測站,X,Y,lvl_1,lvl_2,lvl_3,lvl_4
九隆,120.4309865,23.7511055,,,3,
三和,120.4879411,23.6051419,1,2,,
大溝,120.2106757,23.5661644,,2,3,
六合,120.5626607,23.7688872,1,2,,
文昌,120.4195697,24.0081206,1,2,3,
水林,120.2461062,23.5730673,,2,3,
古坑,120.5668395,23.6445533,1,,,
田中,120.5868369,23.8546002,1,,3,
田尾,120.5273784,23.8913797,1,,3,
田洋,120.3089917,23.7253985,1,,,
合興,120.4581834,23.894041,1,,3,
好修,120.4582227,24.0069077,,2,3,4
安和,120.3126709,23.5147647,1,2,,4
竹山,120.6871402,23.7630247,0,,,
宏崙,120.3480521,23.6866149,1,,3,
坪頂,120.6406863,23.7558262,0,,,
宜梧,120.1883087,23.5412544,0,,3,4
明德,120.1992758,23.6529148,1,2,3,
東石,120.1544886,23.460351,,2,3,4
東光,120.2720127,23.6519191,1,2,3,4
東和,120.5693567,23.6858408,,,3,
東芳,120.5159852,24.0627666,,2,3,
東榮,120.4355251,23.5575179,1,2,3,4
社寮,120.7215556,23.8095304,0,,,
花壇,120.5434004,24.0266614,1,2,,4
芳草,120.3742353,23.7183141,,2,,
虎尾,120.4323032,23.7141619,0,2,,
虎溪,120.5111803,23.7221335,1,2,3,4
金湖,120.1532501,23.5733592,,2,3,
洛津,120.4301778,24.0543448,1,2,3,
崁腳,120.5379487,23.612378,1,2,,
海園,120.179071,23.7208086,1,2,3,4
海豐,120.2259437,23.7648513,,2,3,
烏塗,120.5980298,23.7672448,1,,,
國聖,120.5691329,24.0926589,0,,,
港後,120.3920562,23.7964571,,2,3,
新民,120.6989779,23.811628,0,,,
新光,120.6702601,23.8507579,0,,,
溫厝,120.5120964,23.6577185,1,2,,
嘉興,120.4595291,23.6481764,,2,,
箔子,120.1514987,23.6335005,1,2,3,
趙甲,120.3953615,23.9375158,,2,,
線西,120.4676334,24.1321396,1,2,3,
蔡厝,120.2192681,23.61224,,2,,
興化,120.2889957,23.7601822,,2,,
舊庄,120.4006476,23.6344105,1,2,3,4
豐榮,120.3109723,23.7907168,1,2,,
顏厝,120.4345144,24.0744509,0,,,
瓊埔,120.2072791,23.5183722,,2,,
