站名,經度,緯度,2000年1月1日,2000年1月2日,2000年1月3日,2000年1月4日,2000年1月5日,2000年1月6日,2000年1月7日,2000年1月8日,2000年1月9日,2000年1月10日,2000年1月11日,2000年1月12日,2000年1月13日,2000年1月14日,2000年1月15日,2000年1月16日,2000年1月17日,2000年1月18日,2000年1月19日,2000年1月20日,2000年1月21日,2000年1月22日,2000年1月23日,2000年1月24日,2000年1月25日,2000年1月26日,2000年1月27日,2000年1月28日,2000年1月29日,2000年1月30日,2000年1月31日
下水埔,120.5676,23.8161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.5,8,8,0,0,0,0,0
卡奈托灣,121.087872,23.754364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2.5,15,13.5,0.5,0,0,0,0
和社,120.888861,23.591131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
員林,120.5856,23.9465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,5.5,7,0,0,0,0,0
四湖,120.2271,23.63041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,0,0,0,0,1.5
廬山,121.181808,24.033311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,10.5,41.5,11.5,1.5,0,0,0,0
日月潭,120.90805,23.881325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6,0,0,0,0,3.9,17.4,7.9,2.1,0,0,0,0
昆陽,121.273642,24.121322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1.5,0,1.5,12.5,40,3.5,0,0.5,0,0,0
武界,121.052483,23.913225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,3,23,9,0,0,0,0,0
溪湖,120.4791,23.94835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,5.5,4.5,0,0,0,0,0
神木村,120.843667,23.532742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0.5,0,0,1,4.5,11.5,9.5,0,0,0,0,0
竹山,120.688156,23.761225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0.5,10,9.5,0.5,0,0,0,0
翠峰,121.205211,24.109397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,1.5,18,51.5,12.5,1.5,0,0,0,0
草嶺,120.693461,23.59555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,1.5,5.5,5.5,0,0,0,0,0
萬大,121.132261,23.979817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,6,33.5,12.5,0,0,0,0,0
虎尾,120.442,23.71918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,4.5,5,0,0,0,0,0
阿里山,120.813242,23.508208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,3.8,18,10,0,0,0,0,0
青雲,120.949378,23.793361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,2,1.5,0,0,0,0
鳳凰,120.787347,23.728081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.5,0,0,0,0,1.5,7.5,11,1,0,0,0,0
鹿港,120.4305,24.0753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,5,5.5,1,0,0,0,0,0
